BFE-nummer,BygningsID,EnhedsID,Status,Vejnavn,Nr,Etage,Dør,Postnr,By,Enhedens anvendelse,Enhedens samlede areal,Areal til beboelse,Areal til erhverv,Andet areal,Enhedens andel af fælles adgangsareal,Areal af åben overdækning,Areal af overdækket udestue,Åben tagterrasse areal,Fysisk areal til beboelse,Fysisk areal til erhverv,Antal værelser,Kilde til enhedens arealer,Toiletforhold,Badeforhold,Køkkenforhold,Godkendt tom bolig,Longitude,Latitude,Kommunekode,Ejendomsnummer
101491,62cbbb7d-eaac-4d4b-b771-56859322cbf7,28917772-7e4b-4664-9487-5c9d8c5f556c,Opført,J.C. Christensens Gade,7,8,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  108   ,  108   , -, -, -, -, -, -, -, -,3,Oplyst og kontrolleret af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,57258734","55,66112959",101,518230
133420,46e5fd22-243e-4375-b364-9f1143aecf00,79354cea-6c50-45f2-96e9-57da7ea5fa37,Opført,Ålandsgade,20,2,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  49   ,  49   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60643821","55,66256882",101,680576
135097,f6139d93-9693-4b44-b191-df668518c221,8d8c2302-0290-4526-9627-4cfd4a5f2116,Opført,Marengovej,10,st,mf,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  26   ,  26   , -, -, -, -, -, -, -, -,1,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,62094723","55,65825001",101,366375
105089,a3e204ba-62f5-43ad-86aa-1b0f522ec736,02d97bd3-af94-42c9-8be8-50a64b8668b8,Opført,Carl Th. Zahles Gade,6,6,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  105   ,  105   , -, -, -, -, -, -, -, -,3,Oplyst og kontrolleret af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,57412418","55,66238977",101,549160
102880,318ecbb8-1389-4387-9290-1890da63c3c0,61f43fe6-1624-438b-b521-2ed68d5c738a,Opført,Weidekampsgade,47,2,1,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  148   ,  148   , -,  4   , -, -, -, -, -, -,5,Oplyst og kontrolleret af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,58244203","55,66640543",101,925
136193,8b0d8f14-54b6-4724-b249-5180b36a6ca0,ccee80e9-d720-46dd-984d-d1a116647a38,Opført,Reberbanegade,39,3,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  51   ,  51   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,6063289","55,66225579",101,453871
103746,19fba3e0-7a62-4d94-a4c9-974fb2ad652e,975dc1f0-876f-44dc-b4e2-d34553eff8db,Opført,Weidekampsgade,55,5,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  107   ,  107   , -, -, -, -, -, -, -, -,3,Oplyst og kontrolleret af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,58193975","55,66706428",101,702430
130710,6a6ed916-1932-4b0b-ac87-eb4aa6a46ea2,4980fa3f-ec38-420a-8443-28697873b8be,Opført,Kastrupvej,84,1,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  52   ,  52   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61923797","55,65328207",101,295206
132708,a3374196-8a16-4608-b68a-d339de8fecad,d50d7c40-0e95-43e0-8e8b-11b93acadfa9,Opført,Holmbladsgade,81,3,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  52   ,  52   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61274674","55,66647763",101,234258
132807,15a95761-c31d-4a43-a43c-806eddc91694,37750494-5e98-4d87-9c2a-90b4a1cf6ae3,Opført,Elbagade,19,3,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  58   ,  58   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,6132172","55,65368863",101,113205
130388,2612475a-9557-4cb8-96a0-57a43ea05a05,0175b7ca-a2e5-4f9b-bdaa-2764d62f7a52,Opført,Florensvej,4,2,mf,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  26   ,  26   , -, -, -, -, -, -, -, -,1,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,62184571","55,65803302",101,145697
133361,9f1e3156-b569-448a-b140-13dc7692384d,fdd97280-88d3-4cc5-a055-58f2a0f66b5c,Opført,Venedigvej,5,3,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  68   ,  68   , -, -, -, -, -, -, -, -,3,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,62256622","55,66100354",101,618757
144304,a9bbe04b-2cf3-4523-a548-fcde9da25bfe,25bde361-f6d2-40ed-bd33-fe119d89557a,Opført,Birketinget,2E,3,531,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  42   ,  42   , -, -, -, -, -, -, -, -,1,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60045589","55,65640447",101,873315
132404,005e067f-7c9e-4902-bb7a-39573d484efb,146023ab-8716-4888-aa4b-5f797cde0932,Opført,Breslaugade,10,3,1,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  80   ,  80   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61862649","55,66389662",101,786501
135695,4d1a4842-1a11-409d-8072-ff1cfb6a341e,9473cf45-8df8-40c0-b351-9029be4ffff3,Opført,Ålandsgade,28,4,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  52   ,  52   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60709359","55,66200912",101,681300
131567,66427371-edc9-48b4-a9ee-72e685f5a367,6a8c16a7-a897-4fd6-8bb1-34fcdf55a2ff,Opført,Venedigvej,8,3,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  58   ,  58   , -, -, -, -, -,  2   , -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,62234297","55,66067932",101,619117
124219,385478ba-9b46-41df-994b-c3d1f3d25a81,7d2acc66-bb72-4b0e-aede-91b7a5c838a9,Opført,Lombardigade,5,st,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  70   ,  70   , -, -, -, -, -,  -   , -, -,3,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61181396","55,65399328",101,348113
135579,744655ed-dbc4-455d-b5a7-a9e1eece296b,bb52a447-46fd-4651-9ed5-5bf1db88868b,Opført,Frankrigshusene,8,st,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  56   ,  56   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60839758","55,66261978",101,700097
131491,054e0bf7-aa3a-42fa-b1b3-353a2f27d360,1aff0a2c-872a-4187-bca7-7cec6d75ba0d,Opført,Ungarnsgade,35,4,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  65   ,  65   , -, -, -, -, -,  -   , -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61474802","55,66280729",101,595722
104664,e27f6734-3059-4720-8799-3457c1527dea,f183217c-3a1c-444b-898d-a95f32d91613,Opført,Carl Th. Zahles Gade,12,2,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  113   ,  113   , -, -, -, -, -, -, -, -,3,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,57412608","55,66186316",101,396720
424445,ac9520a0-2355-423d-847a-7e0f23698d45,74e380ce-37f7-4e9e-8ef1-394b6a08357b,Opført,Strandlodsvej,25N,st,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  99   ,  99   , -, -, -, -, -, -, -, -,4,Oplyst af ejer (eller dennes repræsentant),Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,-,"12,6237616","55,6655962",101,22006
102885,e15a041f-41fa-4a56-b1da-1bfb1564f3b6,0613ca28-58d8-45dc-b2e5-48388d9c2da0,Opført,Weidekampsgade,39,2,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  84   ,  84   , -, -, -, -, -, -, -, -,3,Oplyst og kontrolleret af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,58236893","55,66691425",101,988
111402,90bfbaf7-b38d-47de-992e-b6f6b6bf1760,0e9c4507-f864-46ec-b293-13a09f900aa4,Opført,Amager Boulevard,108,2,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  96   ,  96   , -, -, -, -, -, -, -, -,3,Oplyst af ejer (eller dennes repræsentant),Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,-,"12,59355114","55,66657085",101,30553
136468,a75618db-da80-4b81-af25-9ec537510977,3f8b3849-5680-431e-9e0b-a8a90f7ecd16,Opført,Kastrupvej,60,1,mf,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  62   ,  62   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,6177575","55,65490791",101,294048
105468,7e22dc18-1c0c-4120-ba8e-edff8950d1b2,fb742b3a-e7c6-46f4-949b-ef62c1986f7e,Opført,Norgesgade,10,2,3,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  53   ,  53   , -, -, -, -, -,  -   , -, -,1,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,59853292","55,66391855",101,398633
142470,2d7a866a-8e2f-434a-a091-32767ca7448e,cd66eef7-4336-4d62-9444-d41006486873,Opført,Gyldenlakvej,31,1,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  57   ,  57   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61296577","55,64494507",101,198545
108852,cfc9da34-ab33-43ae-87d0-505657e0e4c8,cbec8088-5852-4c0e-b16e-d84e7b7201ef,Opført,Ørestads Boulevard,61B,5,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  82   ,  82   , -, -, -, -, -, -, -, -,3,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,58162255","55,63320045",101,2652
134844,c8ee137b-8794-41d6-9c28-761fc4b06cad,1806ca10-181f-4735-8c50-a9fc38947ba0,Opført,Bremensgade,25,1,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  80   ,  80   , -, -, -, -, -, -, -, -,4,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61771173","55,66606092",101,70522
138878,1878cb5a-0d33-4a87-a2cf-fad4bf17180a,a44acec9-bf5e-49ab-9f22-acf82712c9ac,Opført,Hyacintgården,9,st,2,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  34   ,  34   , -, -, -, -, -, -, -, -,1,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61220597","55,64862252",101,967867
142425,7e881d93-fb75-48de-9f1e-cc168a27f1e7,63d8de3f-6df2-4e6d-b3a9-f8d8eedbe542,Opført,Amagerbrogade,64A,2,-,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  120   ,  120   , -, -, -, -, -, -, -, -,4,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60295561","55,66157043",101,752895
136608,2c70c95b-8d3c-41e6-821f-30fb97cfd47d,08028b02-8dd8-40a8-aadd-ca4ac9e84f7c,Opført,Spaniensgade,23,3,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  70   ,  70   , -, -, -, -, -, -, -, -,3,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60965228","55,66013676",101,521346
135603,744655ed-dbc4-455d-b5a7-a9e1eece296b,3386c046-8bd1-42a4-a9f6-975fa1a5a6cf,Opført,Frankrigshusene,4,1,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  56   ,  56   , -, -, -, -, -,  4   , -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60873753","55,66256472",101,700321
132821,15a95761-c31d-4a43-a43c-806eddc91694,f64a4010-1b11-47b3-b056-69c080cf81f8,Opført,Elbagade,21,4,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  62   ,  62   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61341214","55,65372785",101,113329
414893,f457b305-8a20-4e98-b28f-be13221e14b5,075a7ca6-ab54-433b-ae43-1bef4fbfad43,Opført,Strandlodsvej,25C,st,-,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  110   ,  110   , -, -, -, -, -, -, -, -,4,Oplyst af ejer (eller dennes repræsentant),Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,-,"12,6251685","55,66585179",101,19149
127782,2143a7d9-3fad-4664-93f3-20fa05a1e8c6,732a90ae-9757-4830-8d44-75c30fe7da80,Opført,Bremensgade,34,1,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  67   ,  67   , -, -, -, -, -,  6   , -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61704257","55,66457901",101,71502
114768,60d47f6b-bd46-4e48-82bd-56f440d0dbf6,021fe494-e282-4e84-8138-5615e356986e,Opført,C.F. Møllers Allé,18,9,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  102   ,  102   , -, -, -, -, -, -, -, -,3,Oplyst og kontrolleret af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,57425173","55,63513661",101,4033
131441,d4af9fed-462f-4784-ac8e-33a3d482b56d,e1ff768f-2f43-45f2-b7fd-4d8dab10d787,Opført,Rumæniensgade,16,1,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  68   ,  68   , -, -, -, -, -,  3   , -, -,3,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61260495","55,6596331",101,472868
112330,f2fd197a-1cd9-4f67-b160-932eea7df8ae,f41b189e-b831-4253-945c-61b0665aa8ba,Opført,Jens Otto Krags Gade,17,6,2,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  105   ,  105   , -, -, -, -, -,  29   , -, -,3,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,57018086","55,65890247",101,747760
101937,d9bacbfb-1ead-4025-8ac8-a971a4a1a6b0,6ff9582b-8040-42c2-8547-de6d78f4936d,Opført,Islands Brygge,24B,6,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  140   ,  140   , -,  4   , -, -, -, -, -, -,4,Oplyst og kontrolleret af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,57121467","55,6631262",101,162150
140099,489fd941-af15-4415-b7de-e7469535bc8d,b0ab2a9d-2a4d-4f1b-a92b-0f0d76688035,Opført,Richard Mortensens Vej,77,4,2,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  97   ,  97   , -, -,  12   , -, -,  13   , -, -,3,Oplyst og kontrolleret af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,57100923","55,61717968",101,8920
134856,e1902d76-8a17-4abc-8a0f-1a4df562879c,1bfb2070-9e80-42e3-8cdc-6e2ad52e47a7,Opført,Øresund Parkvej,12,4,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  77   ,  77   , -,  3   , -, -, -, -, -, -,2,Oplyst og kontrolleret af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,62800082","55,66354815",101,640370
119688,72eb7a08-9827-4b0e-a5fb-04dfe6ffaf01,4d8e2606-3559-4a23-bbda-8275749fdc30,Opført,Edvard Thomsens Vej,5C,7,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  121   ,  121   , -, -, -, -, -, -, -, -,4,Oplyst og kontrolleret af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,57321357","55,63237331",101,3543
131897,5d00e370-f28d-4d6d-b1ba-a56ea653c92d,a667003a-a9aa-484a-9d1a-6a1843a05779,Opført,Augustagade,7,5,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  58   ,  58   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61072398","55,65593726",101,33139
143844,a9bbe04b-2cf3-4523-a548-fcde9da25bfe,7d7dfb0f-824b-4ff9-abb4-3094d661299f,Opført,Birketinget,2F,1,613,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  47   ,  47   , -, -, -, -, -, -, -, -,1,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,6005404","55,65649685",101,873439
130638,5a1d79c7-442a-452a-9477-a8235750ac26,c4001864-b9ff-43b9-b321-b4371c694daa,Opført,Kretavej,15,3,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  59   ,  59   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61882796","55,65289098",101,320871
101049,95fe53d4-4a59-4a87-a6b5-41cce95a2efc,3e9f5337-44a9-43d1-ad0d-e2484d8a71b5,Opført,Ejler Billes Allé,112,-,-,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  120   ,  120   , -, -, -, -, -,  8   , -, -,5,Oplyst af ejer (eller dennes repræsentant),Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,-,"12,56870038","55,62337156",101,36003
134684,48b25147-2d08-4b38-949f-62ab19571ed0,761d54ea-687a-49ce-afbf-7b8a01d68530,Opført,Backersvej,45,st,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  51   ,  51   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,62038753","55,65811935",101,34151
126885,915aa26f-eeca-451c-9486-f15d4a533343,4f5f4cf9-7e25-42a1-895c-eae87dde70d6,Opført,Woltersgade,2,3,th,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  52   ,  52   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60736705","55,66505977",101,651118
126487,ef5c4809-f3a9-40c3-8806-4871d74a85c9,f842f3c8-df83-4006-87df-b087d524bf93,Opført,Lybækgade,3,2,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  58   ,  58   , -, -, -, -, -,  6   , -, -,3,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,60871511","55,66518752",101,352803
103655,e989ba10-0765-4c90-8caf-dd97484aeef2,9d01fa56-9210-4263-8614-1d46a4c1d616,Opført,Halfdansgade,3,5,tv,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  56   ,  56   , -, -, -, -, -, -, -, -,2,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,57575214","55,66549906",101,201201
139250,1878cb5a-0d33-4a87-a2cf-fad4bf17180a,d5f651e7-3a11-4738-94be-66abbce500dd,Opført,Hyacintgården,1,2,mf,2300,København S,"Bolig i etageejendom, flerfamiliehus eller to-familiehus",  35   ,  35   , -, -, -, -, -, -, -, -,1,Oplyst af teknisk forvaltning,Vandskyllende toilet i enheden,Badeværelser i enheden,Eget køkken med afløb,Krav om persontilmelding,"12,61264516","55,64824972",101,967336
