BFE-nummer,Adresse,Offentlig ejendomsværdi,Offentlige grundværdi,Seneste handelspris,Enhedsareal - Beboelse,Pris pr. m2,Seneste handelsdato,Seneste handlet andel,Handelsmetode,Anvendelse,Opførelsesår,Tinglyst areal (Ejerlejligheder),Longitude,Latitude,Primær ejers adresse,Vejnavn,Husnr.,Etage,Antal værelser
126009,"Lemnosvej 32, 2., 2300 København S", kr. 1.800.000, kr. 479.400, kr. 4.995.000,  89   , kr. 56.123,15/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1914,  125   ,"12,62362335","55,65312382","Lemnosvej 32,2, 2300 København S",Lemnosvej,32,2,-
109296,"Islands Brygge 32B, 7. 774, 2300 København S", kr. 5.500.000, kr. 920.700, kr. 11.250.000,  185   , kr. 60.810,04/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1963,  146   ,"12,56846915","55,66088474","Islands Brygge 32B,7,-774, 2300 København S",Islands Brygge,32B,7,3
143320,"Sigbrits Allé 5, st. th, 2300 København S", kr. 1.750.000, kr. 258.600, kr. 4.500.000,  91   , kr. 49.450,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  79   ,"12,60760167","55,65757886","None, None None",Sigbrits Allé,5,st,3
143357,"Torben Oxes Allé 2, 3. tv, 2300 København S", kr. 1.350.000, kr. 146.900, kr. 3.470.000,  83   , kr. 41.807,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1902,  76   ,"12,60567456","55,6567834","Enghavevej 184,4 th, 2450 København SV",Torben Oxes Allé,2,3,4
418973,"Strandlodsvej 13C, 6. th, 2300 København S", kr. 2.950.000, kr. 286.500, kr. 7.245.000,  127   , kr. 57.047,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",-,  112   ,"12,62210411","55,66531428","Østergade 37A,3 th, 9400 Nørresundby",Strandlodsvej,13C,6,5
136972,"Greisvej 25, st. tv, 2300 København S", kr. 920.000, kr. 170.900, kr. 2.060.000,  58   , kr. 35.517,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1935,  53   ,"12,61779783","55,64552431","Skræntevej 23B, 3210 Vejby",Greisvej,25,st,2
414909,"Strandlodsvej 25D, 3. tv, 2300 København S", kr. 2.500.000, kr. 345.200, kr. 5.900.000,  110   , kr. 53.636,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2016,  91   ,"12,62515809","55,6659422","Strandlodsvej 25D,3 tv, 2300 København S",Strandlodsvej,25D,3,4
132900,"Caprivej 5, 2. th, 2300 København S", kr. 950.000, kr. 77.100, kr. 2.725.000,  55   , kr. 49.545,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1932,  48   ,"12,62155886","55,66093313","Artillerivej 98A,5 tv, 2300 København S",Caprivej,5,2,2
138747,"Robert Jacobsens Vej 76, 5. 4, 2300 København S", kr. 1.200.000, kr. 249.400, kr. 3.250.000,  60   , kr. 54.166,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2010,  48   ,"12,57209615","55,61728423","Lundedalsvej 32,1,-4, 2900 Hellerup",Robert Jacobsens Vej,76,5,2
128225,"Bremensgade 14, 1. th, 2300 København S", kr. 1.100.000, kr. 258.700, kr. 3.350.000,  70   , kr. 47.857,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1969,  67   ,"12,61603839","55,66589475","Bremensgade 14,1 th, 2300 København S",Bremensgade,14,1,2
107257,"Markmandsgade 17, 3. th, 2300 København S", kr. 2.350.000, kr. 320.800, kr. 4.400.000,  82   , kr. 53.658,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2014,  70   ,"12,59991874","55,66814461","None, None None",Markmandsgade,17,3,3
105953,"Uplandsgade 28, 2. tv, 2300 København S", kr. 1.900.000, kr. 168.200, kr. 5.100.000,  99   , kr. 51.515,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1924,  90   ,"12,60239752","55,6674331","Uplandsgade 28,2 tv, 2300 København S",Uplandsgade,28,2,3
139765,"Peder Lykkes Vej 56, 1. tv, 2300 København S", kr. 1.000.000, kr. 83.600, kr. 2.695.000,  64   , kr. 42.109,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1935,  58   ,"12,60232363","55,65420817","Brydeholm 18, 2670 Greve",Peder Lykkes Vej,56,1,2
134133,"Smålandsgade 6, 2. th, 2300 København S", kr. 1.100.000, kr. 60.900, kr. 3.250.000,  59   , kr. 55.084,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1912,  51   ,"12,60295303","55,66473485",-,Smålandsgade,6,2,2
131162,"Syriensvej 26, 1. 2, 2300 København S", kr. 940.000, kr. 151.200, kr. 2.085.000,  51   , kr. 40.882,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1937,  49   ,"12,62247177","55,64938194","Syriensvej 26,1,-2, 2300 København S",Syriensvej,26,1,2
125037,"Øresundsvej 23, 1. 5, 2300 København S", kr. 2.800.000, kr. 270.100, kr. 5.800.000,  131   , kr. 44.274,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  101   ,"12,61000431","55,65953122","Øresundsvej 23,1,-5, 2300 København S",Øresundsvej,23,1,4
133338,"Venedigvej 1, 3. tv, 2300 København S", kr. 1.350.000, kr. 118.800, kr. 3.380.000,  81   , kr. 41.728,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1932,  74   ,"12,6224298","55,66121061","Allerupvej 27, 5672 Broby",Venedigvej,1,3,3
139161,"Robert Jacobsens Vej 80, 6. 4, 2300 København S", kr. 1.200.000, kr. 249.400, kr. 3.000.000,  60   , kr. 50.000,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2010,  48   ,"12,57201842","55,61693824","Nordre Frihavnsgade 55,3 th, 2100 København Ø",Robert Jacobsens Vej,80,6,2
136771,"Gårdfæstevej 1, 2. tv, 2300 København S", kr. 1.050.000, kr. 167.900, kr. 2.995.000,  70   , kr. 42.785,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1960,  64   ,"12,5887181","55,64005383","Ørestads Boulevard 49S,9,-6, 2300 København S",Gårdfæstevej,1,2,3
101510,"Islands Brygge 63B, 1. tv, 2300 København S", kr. 2.750.000, kr. 415.500, kr. 6.100.000,  106   , kr. 57.547,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2002,  93   ,"12,57141043","55,66257775","Sankt Hans Gade 20,1, 4000 Roskilde",Islands Brygge,63B,1,2
108414,"C.F. Møllers Allé 30, 5. th, 2300 København S", kr. 2.100.000, kr. 420.500, kr. 4.995.000,  105   , kr. 47.571,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  94   ,"12,5760612","55,63472226","C.F. Møllers Allé 30,5 th, 2300 København S",C.F. Møllers Allé,30,5,4
131246,"Strandlodsvej 19C, 2. tv, 2300 København S", kr. 2.450.000, kr. 441.200, kr. 5.900.000,  108   , kr. 54.629,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",-,  95   ,"12,62307047","55,66515355",-,Strandlodsvej,19C,2,4
415281,"Strandlodsvej 25B, 2. th, 2300 København S", kr. 2.000.000, kr. 303.500, kr. 4.650.000,  90   , kr. 51.666,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2016,  80   ,"12,62507732","55,66576223","Sonnesvej 28, 5700 Svendborg",Strandlodsvej,25B,2,3
112369,"Islands Brygge 38C, 7. th, 2300 København S", kr. 4.050.000, kr. 667.500, kr. 13.950.000,  153   , kr. 91.176,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2017,  139   ,"12,56649006","55,65845224","Kystvejen 10, 4600 Køge",Islands Brygge,38C,7,4
112413,"Jens Otto Krags Gade 13, 4. 1, 2300 København S", kr. 1.750.000, kr. 352.000, kr. 5.050.000,  84   , kr. 60.119,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  71   ,"12,56951664","55,65905418","Jens Otto Krags Gade 13,4,-1, 2300 København S",Jens Otto Krags Gade,13,4,2
142421,"Amagerbrogade 66, 4. th, 2300 København S", kr. 2.650.000, kr. 436.400, kr. 7.025.000,  155   , kr. 45.322,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1912,  143   ,"12,6032132","55,66168866","Amagerbrogade 66,4 th, 2300 København S",Amagerbrogade,66,4,5
137492,"Lysefjordsgade 3, 2. tv, 2300 København S", kr. 960.000, kr. 116.300, kr. 2.630.000,  58   , kr. 45.344,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1912,  52   ,"12,59960307","55,6582047","Nyborgvej 87, 5700 Svendborg",Lysefjordsgade,3,2,2
112946,"Ørestads Boulevard 57A, 7. 702, 2300 København S", kr. 2.250.000, kr. 463.900, kr. 4.000.000,  109   , kr. 36.697,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2005,  92   ,"12,58224692","55,63443774","Kagsåvej 119, 2860 Søborg",Ørestads Boulevard,57A,7,4
108140,"Æblestien 3, st. th, 2300 København S", kr. 920.000, kr. 94.100, kr. 3.545.000,  60   , kr. 59.083,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1918,  53   ,"12,59880568","55,66499137","Æblestien 3,st th, 2300 København S",Æblestien,3,st,2
424413,"Strandlodsvej 25K, 1. tv, 2300 København S", kr. 2.100.000, kr. 302.800, kr. 5.035.000,  94   , kr. 53.563,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2016,  84   ,"12,62429976","55,66564243","Strandlodsvej 25K,1 tv, 2300 København S",Strandlodsvej,25K,1,3
105101,"Carl Th. Zahles Gade 8, 3. mf, 2300 København S", kr. 2.150.000, kr. 369.900, kr. 4.400.000,  91   , kr. 48.351,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2005,  80   ,"12,57442632","55,66226146","Carl Th. Zahles Gade 8,3 mf, 2300 København S",Carl Th. Zahles Gade,8,3,3
102854,"Weidekampsgade 35, st., 2300 København S", kr. 2.450.000, kr. 515.400, kr. 5.250.000,  95   , kr. 55.263,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  84   ,"12,58265573","55,66696594","Weidekampsgade 35,st, 2300 København S",Weidekampsgade,35,st,4
141068,"Robert Jacobsens Vej 89, 9., 2300 København S", kr. 2.950.000, kr. 639.300, kr. 8.000.000,  145   , kr. 55.172,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2009,  131   ,"12,57292508","55,61666677","Bringebakken 37, 3500 Værløse",Robert Jacobsens Vej,89,9,4
139145,"Robert Jacobsens Vej 80, 3. 3, 2300 København S", kr. 1.950.000, kr. 441.700, kr. 4.125.000,  97   , kr. 42.525,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2010,  85   ,"12,57201842","55,61693824","Amager Strandvej 122A,1 tv, 2300 København S",Robert Jacobsens Vej,80,3,3
104232,"Klaksvigsgade 10, st. tv, 2300 København S", kr. 3.300.000, kr. 614.100, kr. 7.100.000,  127   , kr. 55.905,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  115   ,"12,58060621","55,66744636","Klaksvigsgade 10,st tv, 2300 København S",Klaksvigsgade,10,st,3
132886,"Messinavej 5, 3. th, 2300 København S", kr. 1.150.000, kr. 97.800, kr. 3.000.000,  70   , kr. 42.857,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1932,  63   ,"12,62092699","55,66093418","Messinavej 5,3 th, 2300 København S",Messinavej,5,3,2
133557,"Sumatravej 63, 1. th, 2300 København S", kr. 960.000, kr. 240.000, kr. 2.425.000,  59   , kr. 41.101,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1962,  54   ,"12,63396598","55,64606657","Richard Mortensens V 60B,st tv, 2300 København S",Sumatravej,63,1,2
130078,"Ungarnsgade 72, 3. tv, 2300 København S", kr. 1.000.000, kr. 255.500, kr. 2.845.000,  60   , kr. 47.416,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1929,  52   ,"12,61451589","55,66254303","None, None None",Ungarnsgade,72,3,2
113407,"Ørestads Boulevard 59B, 7. 709, 2300 København S", kr. 2.250.000, kr. 463.800, kr. 3.950.000,  109   , kr. 36.238,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2005,  96   ,"12,58262281","55,63406671","Ørestads Boulevard 59B,7,-709, 2300 København S",Ørestads Boulevard,59B,7,4
111018,"Amager Boulevard 116, st. th, 2300 København S", kr. 1.900.000, kr. 268.500, kr. 5.000.000,  96   , kr. 52.083,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2018,  83   ,"12,59453722","55,66640797","Amager Boulevard 116,st th, 2300 København S",Amager Boulevard,116,st,3
142926,"Sundholmsvej 113, 3. tv, 2300 København S", kr. 700.000, kr. 51.000, kr. 2.100.000,  45   , kr. 46.666,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1939,  38   ,"12,60538215","55,65729932","Manøgade 1,4 tv, 2100 København Ø",Sundholmsvej,113,3,2
113878,"Edvard Thomsens Vej 81, 6. 3, 2300 København S", kr. 1.350.000, kr. 271.200, kr. 3.195.000,  69   , kr. 46.304,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2006,  62   ,"12,57880004","55,63257148","Støberigade 15,2 mf, 2450 København SV",Edvard Thomsens Vej,81,6,2
115252,"C.F. Møllers Allé 28, st. th, 2300 København S", kr. 1.650.000, kr. 371.300, kr. 3.900.000,  92   , kr. 42.391,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  83   ,"12,57613916","55,63492005","C.F. Møllers Allé 28,st th, 2300 København S",C.F. Møllers Allé,28,st,3
114725,"C.F. Møllers Allé 6, 4. th, 2300 København S", kr. 1.750.000, kr. 342.000, kr. 3.945.000,  86   , kr. 45.872,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",2007,  75   ,"12,57551208","55,63493925","C.F. Møllers Allé 6,4 th, 2300 København S",C.F. Møllers Allé,6,4,3
133580,"Engvej 178, st. tv, 2300 København S", kr. 1.050.000, kr. 326.100, kr. 3.000.000,  71   , kr. 42.253,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1963,  66   ,"12,63475668","55,64605239","Brydes Allé 32,4,-456, 2300 København S",Engvej,178,st,3
135063,"Øresundsvej 47B, 4. th, 2300 København S", kr. 1.150.000, kr. 171.500, kr. 2.851.000,  61   , kr. 46.737,01/04/2022,100%,Almindelig fri handel,"Etagebolig-bygning, flerfamiliehus eller to-familiehus",1914,  54   ,"12,61327956","55,66048723","Øresundsvej 47B,4 th, 2300 København S",Øresundsvej,47B,4,2
